# Matrix Ti6Al4V (tanpa TiB) - Config 1   @rtoto@rkundato
# Generated  : 2026-03-06 17:10:46
# Seed       : 11184165
# Output mode: matrix_only
# Total atoms: 250,000
# Komposisi  : Ti (matrix)=219,941  Al (matrix)=21,257  V  (matrix)=8,802

250000 atoms
3 atom types

0.0 147.500000 xlo xhi
0.0 127.738747 ylo yhi
0.0 234.300000 zlo zhi

Masses

1 47.867  # Ti (matrix)
2 26.982  # Al (matrix)
3 50.942  # V  (matrix)

Atoms # atomic

267 1 0.000000 12.773875 74.976000
268 1 0.000000 12.773875 79.662000
269 1 0.000000 12.773875 84.348000
270 1 0.000000 12.773875 89.034000
271 1 0.000000 12.773875 93.720000
272 1 0.000000 12.773875 98.406000
273 1 0.000000 12.773875 103.092000
274 1 0.000000 12.773875 107.778000
275 1 0.000000 12.773875 112.464000
276 1 0.000000 12.773875 117.150000
277 1 0.000000 12.773875 121.836000
278 1 0.000000 12.773875 126.522000
279 2 0.000000 12.773875 131.208000
280 1 0.000000 12.773875 135.894000
281 2 0.000000 12.773875 140.580000
282 1 0.000000 12.773875 145.266000
283 1 0.000000 12.773875 149.952000
284 1 0.000000 12.773875 154.638000
285 1 0.000000 12.773875 159.324000
286 1 0.000000 12.773875 164.010000
287 1 0.000000 12.773875 168.696000
288 1 0.000000 12.773875 173.382000
289 1 0.000000 12.773875 178.068000
290 1 0.000000 12.773875 182.754000
291 1 0.000000 12.773875 187.440000
292 1 0.000000 12.773875 192.126000
293 2 0.000000 12.773875 196.812000
294 1 0.000000 12.773875 201.498000
295 1 0.000000 12.773875 206.184000
296 1 0.000000 12.773875 210.870000
297 1 0.000000 12.773875 215.556000
298 1 0.000000 12.773875 220.242000
299 1 0.000000 12.773875 224.928000
300 1 0.000000 12.773875 229.614000
301 3 0.000000 15.328650 0.000000
302 1 0.000000 15.328650 4.686000
303 2 0.000000 15.328650 9.372000
304 1 0.000000 15.328650 14.058000
305 1 0.000000 15.328650 18.744000
306 1 0.000000 15.328650 23.430000
307 1 0.000000 15.328650 28.116000
308 1 0.000000 15.328650 32.802000
309 1 0.000000 15.328650 37.488000
310 1 0.000000 15.328650 42.174000
311 1 0.000000 15.328650 46.860000
312 1 0.000000 15.328650 51.546000
313 1 0.000000 15.328650 56.232000
314 3 0.000000 15.328650 60.918000
315 1 0.000000 15.328650 65.604000
316 1 0.000000 15.328650 70.290000
317 1 0.000000 15.328650 74.976000
318 3 0.000000 15.328650 79.662000
319 1 0.000000 15.328650 84.348000
320 2 0.000000 15.328650 89.034000
321 1 0.000000 15.328650 93.720000
322 1 0.000000 15.328650 98.406000
323 1 0.000000 15.328650 103.092000
324 1 0.000000 15.328650 107.778000
325 1 0.000000 15.328650 112.464000
326 1 0.000000 15.328650 117.150000
327 1 0.000000 15.328650 121.836000
328 1 0.000000 15.328650 126.522000
329 1 0.000000 15.328650 131.208000
330 1 0.000000 15.328650 135.894000
331 1 0.000000 15.328650 140.580000
332 1 0.000000 15.328650 145.266000
333 1 0.000000 15.328650 149.952000
334 1 0.000000 15.328650 154.638000
335 1 0.000000 15.328650 159.324000
336 1 0.000000 15.328650 164.010000
337 1 0.000000 15.328650 168.696000
338 1 0.000000 15.328650 173.382000
339 1 0.000000 15.328650 178.068000
340 1 0.000000 15.328650 182.754000
341 1 0.000000 15.328650 187.440000
342 1 0.000000 15.328650 192.126000
343 1 0.000000 15.328650 196.812000
344 1 0.000000 15.328650 201.498000
345 1 0.000000 15.328650 206.184000
346 3 0.000000 15.328650 210.870000
347 1 0.000000 15.328650 215.556000
348 1 0.000000 15.328650 220.242000
349 1 0.000000 15.328650 224.928000
350 1 0.000000 15.328650 229.614000
351 1 0.000000 17.883425 0.000000
352 1 0.000000 17.883425 4.686000
353 1 0.000000 17.883425 9.372000
354 1 0.000000 17.883425 14.058000
355 1 0.000000 17.883425 18.744000
356 1 0.000000 17.883425 23.430000
357 1 0.000000 17.883425 28.116000
358 1 0.000000 17.883425 32.802000
359 1 0.000000 17.883425 37.488000
360 1 0.000000 17.883425 42.174000
361 1 0.000000 17.883425 46.860000
362 1 0.000000 17.883425 51.546000
363 1 0.000000 17.883425 56.232000
364 1 0.000000 17.883425 60.918000
365 1 0.000000 17.883425 65.604000
366 1 0.000000 17.883425 70.290000
367 1 0.000000 17.883425 74.976000
368 3 0.000000 17.883425 79.662000
369 1 0.000000 17.883425 84.348000
370 1 0.000000 17.883425 89.034000
371 1 0.000000 17.883425 93.720000
372 1 0.000000 17.883425 98.406000
373 1 0.000000 17.883425 103.092000
374 1 0.000000 17.883425 107.778000
375 1 0.000000 17.883425 112.464000
376 1 0.000000 17.883425 117.150000
377 1 0.000000 17.883425 121.836000
378 1 0.000000 17.883425 126.522000
379 1 0.000000 17.883425 131.208000
380 1 0.000000 17.883425 135.894000
381 1 0.000000 17.883425 140.580000
382 1 0.000000 17.883425 145.266000
383 1 0.000000 17.883425 149.952000
384 1 0.000000 17.883425 154.638000
385 1 0.000000 17.883425 159.324000
386 1 0.000000 17.883425 164.010000
