# step time[ps] z_front[A] vz[A/ps] speed[A/ps] penetration[A]
8350 1.97 239.013012119371 -9.99999999999999 9.99999999999999 -0.513012119371012
8400 1.98 238.914471124108 -10 10 -0.41447112410799
8450 1.99 238.816268853315 -9.99999999999999 9.99999999999999 -0.316268853314995
8500 2 238.71841661365 -10 10 -0.218416613649993
8550 2.01 238.620921817463 -9.99999999999999 9.99999999999999 -0.120921817463
8600 2.02 238.523787242025 -9.99999999999999 9.99999999999999 -0.0237872420250085
8650 2.03 238.427010886769 -10 10 0.0729891132309888
8700 2.04 238.330584701863 -10 10 0.169415298137011
8750 2.05 238.234494200743 -10 10 0.265505799256999
8800 2.06 238.138718696253 -10 10 0.361281303747006
8850 2.07 238.043232500567 -9.99999999999999 9.99999999999999 0.456767499432999
8900 2.08 237.948007401652 -10 10 0.551992598347994
8950 2.09 237.853016563557 -10 10 0.646983436443008
9000 2.1 237.758239681136 -10.0000000896102 10.0000000896102 0.74176031886401
9050 2.11 237.66366864373 -10.0000004556683 10.0000004556683 0.836331356269994
9100 2.12 237.569313456253 -10.0000012188763 10.0000012188763 0.930686543746987
9150 2.13 237.475206397047 -10.0000021321217 10.0000021321217 1.024793602953
9200 2.14 237.381400122132 -10.0000038582394 10.0000038582394 1.11859987786801
9250 2.15 237.287961500196 -10.0000068805294 10.0000068805295 1.21203849980401
9300 2.16 237.194980972558 -10.0000105594948 10.0000105594948 1.305019027442
9350 2.17 237.102563149555 -10.0000148964579 10.000014896458 1.39743685044499
9400 2.18 237.010813156284 -10.0000203118342 10.0000203118344 1.489186843716
9450 2.19 236.919826019418 -10.0000270693831 10.0000270693835 1.580173980582
9500 2.2 236.829677419392 -10.0000353806966 10.0000353806973 1.670322580608
9550 2.21 236.740416379478 -10.0000450585482 10.0000450585494 1.75958362052199
9600 2.22 236.652059365974 -10.0000565327432 10.0000565327451 1.847940634026
9650 2.23 236.564581733857 -10.0000705000468 10.0000705000496 1.93541826614299
9700 2.24 236.477909052395 -10.0000873860344 10.0000873860385 2.02209094760499
9750 2.25 236.391920110865 -10.0001066053467 10.0001066053528 2.10807988913501
9800 2.26 236.306434889427 -10.0001292586744 10.0001292586831 2.19356511057299
9850 2.27 236.221215080286 -10.0001552307117 10.0001552307239 2.27878491971401
9900 2.28 236.13598237987 -10.0001848085654 10.0001848085822 2.36401762013
9950 2.29 236.050458969161 -10.0002188614884 10.0002188615111 2.44954103083899
10000 2.3 235.964419032261 -10.0002580414597 10.0002580414897 2.53558096773901
10050 2.31 235.877729185733 -10.0003034259523 10.0003034259922 2.62227081426701
10100 2.32 235.790348928538 -10.0003555309538 10.0003555310065 2.70965107146199
10150 2.33 235.702276091527 -10.0004152002122 10.0004152002813 2.79772390847299
10200 2.34 235.613460122065 -10.0004825476107 10.0004825477015 2.88653987793501
10250 2.35 235.523735412285 -10.0005587391385 10.0005587392558 2.97626458771501
10300 2.36 235.432837701983 -10.0006444292211 10.0006444293713 3.067162298017
10350 2.37 235.340511951939 -10.0007407297974 10.0007407299876 3.15948804806101
10400 2.38 235.246683330573 -10.0008504885526 10.0008504887936 3.25331666942699
10450 2.39 235.140728678139 -10.0009759768327 10.0009759771351 3.359271321861
10500 2.4 235.032711597015 -10.0011204111604 10.0011204115374 3.46728840298499
10550 2.41 234.925309270838 -10.0012881331839 10.0012881336536 3.574690729162
10600 2.42 234.819105874562 -10.0014846698493 10.0014846704379 3.68089412543799
10650 2.43 234.714589036273 -10.0017120196759 10.0017120204158 3.785410963727
